bidder_address,total_projects,completed_projects,abandoned_projects,completion_rate,average_delay_days,budget_overruns_percent,quality_score,reputation_score,payment_disputes,days_since_last_project,bid_type,bid_amount,project_budget,total_contract_value
0xBIDDER01,5,5,0,1.00,1,60,8.90,8.02,3,74,MinRate,42062.49,24509.59,444007.33
0xBIDDER02,26,21,4,0.81,27,15,6.92,3.02,0,173,FixRate,12076.23,13871.64,379834.44
0xBIDDER03,17,15,2,0.88,30,73,5.92,4.85,2,816,MinRate,26493.24,97197.06,498306.67
0xBIDDER04,16,13,2,0.81,59,62,8.54,8.71,2,575,FixRate,3828.57,82351.80,462949.03
0xBIDDER05,23,14,9,0.61,13,2,7.59,5.85,1,776,FixRate,4439.51,55113.62,46765.36
0xBIDDER06,42,38,4,0.90,15,28,9.12,8.45,1,45,FixRate,18750.32,67890.23,1257890.45
0xBIDDER07,8,6,2,0.75,42,85,6.34,6.12,4,234,MinRate,7845.67,34567.89,234567.12
0xBIDDER08,31,29,2,0.94,8,12,8.76,8.89,0,89,FixRate,52341.78,89012.34,987654.32
0xBIDDER09,19,15,4,0.79,35,45,7.23,7.01,3,156,MinRate,15678.90,45678.90,456789.01
0xBIDDER10,14,12,2,0.86,22,35,8.01,7.65,1,298,FixRate,9876.54,56789.01,345678.90
0xBIDDER11,37,33,4,0.89,18,22,8.67,8.23,2,67,MinRate,34567.89,78901.23,1098765.43
0xBIDDER12,6,4,2,0.67,48,78,5.45,5.12,5,412,FixRate,3456.78,23456.78,156789.01
0xBIDDER13,28,25,3,0.89,12,18,9.01,8.78,1,123,MinRate,23456.78,56789.01,678901.23
0xBIDDER14,21,18,3,0.86,28,41,7.89,7.34,2,201,FixRate,12345.67,45678.90,456789.01
0xBIDDER15,45,41,4,0.91,14,25,9.23,9.01,1,56,MinRate,45678.90,89012.34,1567890.12
0xBIDDER16,12,9,3,0.75,38,67,6.78,6.45,4,345,FixRate,6789.01,34567.89,234567.89
0xBIDDER17,33,30,3,0.91,16,30,8.45,8.12,2,78,MinRate,29876.54,67890.12,876543.21
0xBIDDER18,9,7,2,0.78,31,52,7.12,6.89,3,267,FixRate,7890.12,34567.89,245678.90
0xBIDDER19,25,22,3,0.88,21,33,8.34,7.98,2,134,MinRate,18765.43,54321.09,567890.12
0xBIDDER20,18,14,4,0.78,45,71,6.56,6.23,4,289,FixRate,8765.43,38901.23,298765.43
0xBIDDER21,39,36,3,0.92,11,19,9.12,8.87,1,34,MinRate,36789.01,76543.21,1234567.89
0xBIDDER22,7,5,2,0.71,52,89,5.67,5.34,5,456,FixRate,4567.89,25678.90,167890.12
0xBIDDER23,29,26,3,0.90,17,26,8.78,8.45,1,98,MinRate,26789.01,59876.54,745623.18
0xBIDDER24,13,10,3,0.77,36,58,6.89,6.56,3,312,FixRate,8901.23,39876.54,289765.43
0xBIDDER25,35,32,3,0.91,19,31,8.56,8.23,2,87,MinRate,32145.67,71234.56,956781.23
0xBIDDER26,11,8,3,0.73,44,74,6.12,5.89,4,398,FixRate,5678.90,28765.43,198765.43
0xBIDDER27,27,24,3,0.89,23,37,8.23,7.89,2,156,MinRate,21345.67,58901.23,634512.78
0xBIDDER28,15,12,3,0.80,33,55,7.34,6.98,3,267,FixRate,9876.54,41234.56,312456.78
0xBIDDER29,41,37,4,0.90,13,24,9.01,8.67,1,43,MinRate,38901.23,81234.56,1345678.90
0xBIDDER30,10,7,3,0.70,47,82,5.89,5.45,5,423,FixRate,6234.56,31456.78,198456.32
0xBIDDER31,32,28,4,0.88,20,34,8.34,7.98,2,98,MinRate,28456.78,63421.09,812345.67
0xBIDDER32,20,16,4,0.80,39,63,7.01,6.67,4,234,FixRate,11234.56,47891.23,356789.12
0xBIDDER33,36,33,3,0.92,16,28,8.78,8.45,1,67,MinRate,33456.78,72345.67,1023456.78
0xBIDDER34,8,5,3,0.63,55,95,5.23,4.89,6,498,FixRate,4891.23,26789.01,178901.23
